resource_sp,specialist_1,specialist_2,specialist_3,intermediate_1,intermediate_2,intermediate_3,generalist_1,generalist_2,generalist_3
resource_01,0.5,0,0.5,0,0,0,0,0.166666667,0.166666667
resource_02,0.5,0.5,0,0,0,0,0,0,0.166666667
resource_03,0,0.5,0.5,0.25,0,0.25,0,0,0
resource_04,0,0,0,0.25,0.25,0.25,0,0,0
resource_05,0,0,0,0.25,0.25,0,0.166666667,0,0
resource_06,0,0,0,0.25,0.25,0.25,0.166666667,0.166666667,0
resource_07,0,0,0,0,0.25,0.25,0.166666667,0.166666667,0.16666667
resource_08,0,0,0,0,0,0,0.166666667,0.166666667,0.16666667
resource_09,0,0,0,0,0,0,0.166666667,0.166666667,0.16666667
resource_10,0,0,0,0,0,0,0.166666667,0.166666667,0.16666667
